,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199
0,0,0,0,2,0,0,3,0,1,3,1,1,1,3,2,3,2,2,3,3,3,0,2,1,3,4,1,1,0,5,3,2,5,3,2,4,3,2,3,3,1,4,2,1,3,1,2,4,0,5,4,3,4,0,5,3,4,4,3,4,6,6,2,4,2,2,4,7,0,5,3,4,5,1,10,4,2,3,5,7,10,8,3,1,7,2,5,3,3,4,8,5,4,3,7,7,5,0,5,7,8,3,5,3,8,4,3,3,6,8,5,4,3,2,3,6,8,7,5,6,5,3,8,2,8,9,5,8,7,8,6,5,4,4,4,3,8,9,11,9,6,5,8,2,5,5,11,4,7,8,3,3,8,6,6,14,7,9,6,10,9,13,6,8,3,5,7,8,8,8,9,6,6,5,9,4,9,22,10,5,6,9,8,9,8,16,5,4,8,11,11,7,8,8,8,8,11,6,8,6
1,7,5,7,8,2,8,6,9,6,9,4,10,8,3,6,2,6,4,6,3,7,6,6,6,4,5,6,5,4,6,5,10,5,5,3,5,7,8,5,11,2,4,5,7,6,4,6,6,6,6,6,8,7,5,7,8,7,4,3,2,7,5,11,4,5,2,4,3,5,8,3,4,9,0,6,3,8,7,4,6,7,11,3,3,8,5,10,9,5,7,6,1,6,4,8,5,4,8,4,1,7,2,4,4,5,2,6,2,4,6,4,2,6,4,6,4,7,2,4,7,5,2,5,7,5,4,2,2,2,1,4,7,5,9,6,6,10,6,7,5,6,8,4,5,5,6,3,3,7,5,3,5,3,6,8,8,3,5,7,2,4,4,3,5,1,7,2,2,4,5,2,5,6,5,2,3,3,5,4,0,2,4,1,5,7,4,4,3,7,3,4,2,4,3,4,6,3,1,2,3
2,12,11,6,7,12,13,11,9,4,7,6,7,10,9,9,11,9,3,6,6,12,11,9,4,11,8,6,6,3,3,7,8,11,6,8,10,7,6,8,9,10,7,6,7,9,3,6,10,5,8,7,6,5,4,4,5,8,7,5,6,5,11,5,0,5,5,6,6,5,2,4,8,6,3,2,6,3,6,1,3,4,2,6,4,5,5,4,9,3,7,4,2,7,5,5,2,9,6,4,2,2,5,3,4,2,4,5,8,7,6,1,6,8,4,6,1,4,5,7,1,8,5,5,8,5,5,5,3,6,4,3,4,2,2,6,5,4,5,3,2,8,5,6,3,5,3,4,3,2,4,4,8,0,6,4,3,4,2,4,3,2,6,2,4,2,2,2,7,1,7,6,3,2,3,2,1,1,6,2,1,3,0,2,2,0,3,5,2,2,2,3,2,0,7,0,1,2,0,3,3
3,9,6,7,6,9,8,6,7,6,5,3,5,6,12,3,6,4,5,4,5,3,3,5,3,2,7,5,2,5,2,4,4,6,6,5,3,6,1,7,5,4,1,7,6,8,5,2,6,3,5,9,4,5,5,3,4,7,5,3,10,6,6,7,2,9,2,5,7,1,3,4,9,5,6,2,3,3,4,5,4,7,1,3,3,4,7,3,4,8,6,8,5,6,6,4,4,2,10,4,4,3,1,2,0,8,8,4,0,4,4,5,3,4,3,3,2,7,4,8,3,2,5,10,3,6,3,4,2,3,2,1,5,5,5,4,6,4,3,4,2,4,6,4,2,5,5,6,3,4,3,2,5,7,5,8,4,7,4,7,10,2,3,8,7,7,6,3,2,10,6,3,5,5,6,9,7,4,5,7,5,4,5,6,5,10,4,11,8,3,5,3,9,9,3,5,9,12,9,4,10
4,19,16,11,17,10,9,6,6,8,7,12,9,5,3,10,7,7,6,7,3,9,11,11,7,10,6,10,8,5,7,6,6,8,12,9,2,10,7,10,4,5,4,9,10,4,7,4,14,6,6,7,4,4,10,7,8,3,7,5,1,9,8,5,4,5,6,6,1,4,3,4,5,6,6,6,8,2,7,3,0,1,5,7,10,3,4,3,9,6,7,6,7,3,3,2,5,6,7,7,5,9,5,6,3,2,5,4,9,7,2,5,6,6,4,7,3,2,0,4,1,3,4,2,6,5,4,8,4,3,3,3,5,3,4,2,3,4,3,3,2,3,9,4,4,6,9,7,2,0,3,2,5,4,4,3,2,4,3,3,5,2,3,2,1,3,2,3,2,3,2,1,1,3,2,2,4,2,4,2,4,2,5,5,2,0,2,2,2,0,2,1,3,3,1,4,3,1,1,0,2
5,2,4,3,1,1,4,5,3,5,4,1,2,5,1,3,2,6,7,2,4,6,4,6,6,5,2,2,2,4,7,6,4,7,5,2,5,4,5,3,4,5,5,3,9,4,4,6,4,9,6,6,4,9,8,4,3,6,3,3,6,6,5,3,7,3,6,4,2,5,6,3,3,4,4,10,2,2,8,4,8,5,6,4,7,6,10,5,7,1,7,2,6,4,5,8,4,1,2,5,10,3,7,4,9,7,5,4,8,7,3,3,6,9,2,3,4,5,4,2,10,4,4,5,3,2,4,3,6,12,10,2,4,6,5,8,1,4,3,4,6,6,3,7,6,10,8,7,4,4,6,3,8,2,8,6,3,5,6,5,3,5,1,5,3,3,6,6,9,5,1,2,5,3,2,8,4,6,3,2,6,6,7,1,7,10,6,5,12,9,4,7,7,7,7,10,4,10,2,12,10
6,8,8,2,7,10,5,4,9,13,6,3,6,11,10,4,4,4,4,10,4,6,3,6,5,6,7,6,7,7,2,11,2,4,2,7,4,6,5,7,4,11,5,9,2,5,4,5,5,7,6,4,5,4,6,10,8,7,8,4,5,8,8,13,8,3,5,8,5,7,5,5,7,8,4,7,4,2,3,10,4,6,7,6,2,4,4,4,4,7,7,6,6,5,6,1,6,5,3,4,4,6,5,1,4,3,3,10,9,6,6,6,3,5,7,3,5,4,3,2,5,5,6,5,7,5,2,5,6,6,4,3,8,4,4,1,4,0,2,9,4,4,4,4,1,4,5,8,5,2,7,5,3,4,3,5,3,3,8,3,5,6,8,2,7,2,1,3,4,7,6,4,4,7,4,2,4,2,5,2,0,4,4,3,3,2,3,8,6,3,5,4,6,2,1,3,1,2,5,1,2
7,12,8,9,6,11,11,13,4,11,5,5,4,11,10,8,11,6,6,9,9,5,7,8,10,9,0,9,13,9,5,9,5,11,8,8,9,4,6,3,3,6,5,7,9,6,10,10,7,4,4,5,7,5,8,6,9,8,4,4,8,5,9,10,3,6,4,4,5,9,8,4,1,11,6,8,5,9,6,7,4,5,2,2,9,6,3,5,3,2,4,8,3,4,4,2,7,3,4,3,2,4,9,6,7,7,3,3,3,3,4,4,9,4,4,6,2,4,7,5,3,8,0,5,8,4,2,3,4,4,3,5,4,7,3,4,3,5,3,5,6,5,3,5,5,1,5,4,1,6,8,3,1,5,1,1,2,5,2,4,3,3,2,5,2,4,2,4,1,5,0,5,1,0,2,2,5,4,3,2,6,2,3,2,4,1,2,1,2,6,3,2,3,4,1,1,1,1,1,1,1
8,1,1,0,0,1,0,1,0,3,4,2,1,0,1,3,1,2,3,3,1,4,1,2,2,1,1,4,3,1,2,6,1,4,4,1,3,3,2,7,3,4,5,4,2,2,1,1,5,4,3,4,5,2,0,3,4,4,6,4,8,4,4,3,4,8,8,3,1,4,5,1,4,2,6,3,8,4,2,13,6,8,7,6,4,7,5,6,4,4,2,3,4,3,2,6,5,4,6,7,8,4,3,3,8,6,4,6,5,4,5,6,4,8,5,7,2,6,4,5,6,6,5,3,4,4,7,2,5,5,5,6,9,7,8,5,6,6,3,9,7,3,5,3,8,1,8,3,7,3,8,8,6,6,6,10,5,7,5,4,7,9,9,12,7,7,9,9,6,12,5,6,7,11,10,7,12,8,9,7,8,6,15,6,8,8,9,6,10,11,7,6,8,10,7,11,7,2,7,7,5
9,0,0,0,0,2,2,2,2,2,1,2,1,4,3,2,4,7,2,2,1,2,2,1,2,2,2,5,3,4,8,2,3,1,3,4,6,7,6,3,5,5,3,5,2,5,4,6,3,4,3,2,4,6,3,7,5,6,4,3,5,4,8,5,7,8,4,5,1,5,5,5,5,4,3,7,2,7,7,8,8,8,7,2,1,3,4,8,5,2,9,8,7,4,8,5,4,6,3,4,3,5,5,3,3,8,6,5,2,7,6,1,9,8,5,5,9,5,2,3,6,4,5,8,8,4,4,7,5,3,6,6,13,7,4,1,7,5,10,8,5,3,4,6,5,6,4,9,7,7,8,3,6,6,4,9,3,6,11,11,13,5,3,5,8,8,6,4,7,5,3,11,10,5,7,8,7,9,4,0,3,11,6,5,7,4,5,5,9,5,8,6,7,7,5,10,5,7,9,3,0
